Sex,VehicleType,Claims,Term,Discount,AgeCat,VehicleAgeCat
U,T,0,0.668035592,30,0,2
U,T,0,0.566735113,30,0,2
U,T,0,0.503764545,30,0,2
U,T,0,0.914442163,20,0,2
U,T,0,0.536618754,20,0,2
U,T,0,0.752908967,20,0,2
U,M,0,0.670773443,20,0,6
U,M,0,0.837782341,20,0,6
U,M,0,0.167008898,20,0,6
U,M,0,0.503764545,20,0,6
U,M,0,0.435318275,20,0,6
U,M,0,0.605065024,20,0,6
U,M,0,0.167008898,20,0,6
U,M,0,0.503764545,20,0,6
U,M,0,0.585900068,20,0,6
U,M,0,0.670773443,20,0,5
U,M,0,0.167008898,20,0,5
U,M,0,0.914442163,10,0,5
U,M,0,0.999315537,10,0,5
U,M,0,0.670773443,10,0,5
U,M,0,0.837782341,20,0,5
U,M,0,0.752908967,20,0,5
U,M,0,0.752908967,20,0,5
U,M,0,0.503764545,20,0,5
U,M,0,0.906228611,0,0,3
U,M,0,0.670773443,20,0,5
U,M,0,0.585900068,20,0,5
U,M,0,0.720054757,0,0,5
U,M,0,0.670773443,20,0,5
U,M,0,0.585900068,20,0,5
U,M,0,0.224503765,20,0,5
U,M,0,0.914442163,20,0,5
U,M,0,0.34770705,0,0,5
M,A,0,0.41889117,40,3,6
M,A,0,0.084873374,20,4,2
M,A,0,0.837782341,50,5,2
M,A,0,0.547570157,10,4,6
M,A,1,0.895277207,20,3,6
M,A,1,0.851471595,30,3,2
M,A,0,0.334017796,50,5,6
M,A,0,0.752908967,50,6,6
F,A,1,0.914442163,50,4,2
M,A,0,0.999315537,20,3,6
M,A,0,0.665297741,30,4,2
F,A,0,0.999315537,0,7,6
M,A,0,0.240930869,0,3,2
M,A,0,0.837782341,50,3,6
F,A,0,0.334017796,50,4,2
M,A,0,0.90349076,0,4,6
M,A,0,0.254620123,30,3,6
M,A,0,0.167008898,50,4,6
F,A,0,0.405201917,0,4,6
M,A,0,0.503764545,20,3,6
F,A,0,0.999315537,50,4,6
M,A,0,0.670773443,40,4,6
M,A,0,0.334017796,10,4,6
M,A,0,0.328542095,10,4,6
M,A,0,0.813141684,10,3,2
M,A,0,0.919917865,0,3,6
M,A,0,0.914442163,50,3,2
M,A,0,0.908966461,50,6,6
M,A,0,0.271047228,0,3,2
M,A,0,0.862422998,50,3,2
M,A,0,0.837782341,10,4,6
M,A,0,0.569472964,0,2,2
M,A,0,0.982888433,0,4,2
M,A,0,0.583162218,0,3,2
M,A,0,0.167008898,50,3,2
M,A,0,0.049281314,0,4,2
F,A,0,0.654346338,20,3,2
M,A,0,0.295687885,0,4,2
M,A,0,0.999315537,50,3,2
M,A,0,0.084873374,0,4,2
M,A,0,0.084873374,50,5,2
M,A,0,0.084873374,0,3,2
M,A,0,0.084873374,20,4,2
F,A,0,0.084873374,50,3,2
M,A,0,0.082135524,50,6,2
M,A,0,0.999315537,50,4,2
M,A,0,0.503764545,30,4,2
M,A,0,0.41889117,40,4,2
M,A,0,0.366872006,10,2,2
F,A,0,0.900752909,50,4,2
M,A,0,0.676249144,0,4,6
M,A,0,0.084873374,0,6,2
M,A,0,0.657084189,0,4,2
M,A,0,0.999315537,0,4,2
M,A,0,0.531143053,0,4,6
U,G,0,0.355920602,50,0,5
M,A,0,0.914442163,50,5,2
M,A,0,0.010951403,0,4,2
M,A,0,0.41889117,40,4,2
M,A,0,0.599589322,0,3,2
M,A,0,0.334017796,20,3,2
M,A,0,0.837782341,50,4,2
M,A,0,0.334017796,50,6,2
M,A,0,0.334017796,50,4,2
M,A,0,0.334017796,10,3,2
M,A,0,0.257357974,30,4,2
M,A,0,0.837782341,40,4,2
M,A,0,0.752908967,50,3,2
M,A,0,0.744695414,50,5,2
M,A,0,0.62422998,0,2,2
M,A,0,0.5229295,0,3,2
M,A,0,0.167008898,50,4,2
M,A,0,0.10403833,0,2,2
M,A,0,0.084873374,50,4,2
M,A,0,0.065708419,0,4,2
M,A,0,0.977412731,50,4,2
M,A,0,0.925393566,10,4,2
M,A,0,0.999315537,50,4,2
M,A,1,0.856947296,0,4,2
F,A,0,0.996577687,50,3,2
M,A,0,0.481861739,50,6,2
M,A,0,0.125941136,0,4,2
M,A,0,0.999315537,0,5,2
M,A,0,0.41889117,30,4,2
M,A,0,0.41889117,50,4,2
M,A,0,0.856947296,20,3,2
F,A,0,0.670773443,0,3,2
M,A,1,0.728268309,0,5,2
M,A,0,0.41889117,10,5,2
M,A,0,0.41889117,10,4,2
F,A,0,0.914442163,50,5,2
M,A,0,0.334017796,50,3,2
M,A,0,0.005475702,0,2,2
M,A,0,0.167008898,0,4,2
F,A,0,0.837782341,50,4,2
M,A,0,0.251882272,0,4,2
M,A,0,0.213552361,0,3,2
M,A,0,0.334017796,50,5,2
M,A,0,0.13963039,0,3,2
M,A,0,0.752908967,10,5,6
M,A,0,0.251882272,0,3,2
M,A,0,0.167008898,30,4,2
M,A,0,0.985626283,10,3,2
M,A,1,0.13963039,0,3,2
M,A,0,0.646132786,50,4,2
M,A,0,0.525667351,0,4,2
M,A,0,0.134154689,50,4,2
M,A,0,0.167008898,0,3,2
M,A,0,0.084873374,10,3,2
M,A,0,0.654346338,0,4,2
M,A,0,0.90349076,0,5,2
M,A,0,0.084873374,10,4,2
M,A,0,0.084873374,40,5,2
M,A,0,0.084873374,20,6,2
M,A,0,0.607802875,0,4,2
M,A,0,0.24366872,0,3,2
M,A,0,0.684462697,40,5,2
M,A,0,0.41889117,50,5,2
M,A,0,0.670773443,50,5,2
F,A,0,0.999315537,50,3,2
M,A,0,0.454483231,0,3,2
M,A,0,0.670773443,50,4,2
M,A,0,0.405201917,0,3,2
M,A,0,0.167008898,0,4,2
M,A,0,0.952772074,0,3,2
M,A,0,0.481861739,50,4,2
M,A,0,0.999315537,40,5,2
F,A,0,0.465434634,10,3,2
F,A,0,0.944558522,40,2,2
M,A,0,0.914442163,30,6,6
M,A,0,0.914442163,50,5,2
M,A,0,0.167008898,50,4,2
F,A,0,0.914442163,20,5,2
M,A,0,0.079397673,0,3,2
M,A,0,0.843258042,10,2,2
M,A,0,0.662559891,30,3,2
M,A,0,0.837782341,50,5,2
M,A,0,0.473648186,40,3,2
M,A,0,0.334017796,20,4,2
M,A,0,0.306639288,50,4,2
M,A,0,0.837782341,10,3,2
F,A,0,0.837782341,0,4,2
M,A,0,0.391512663,50,3,2
M,A,0,0.142368241,20,4,2
M,A,0,0.752908967,50,4,2
F,A,0,0.807665982,50,3,2
M,A,0,0.251882272,20,5,2
M,A,0,0.733744011,10,4,2
M,A,0,0.914442163,50,4,2
M,A,0,0.167008898,10,3,2
M,A,0,0.865160849,10,4,2
M,A,0,0.167008898,50,5,2
M,A,0,0.41889117,50,3,2
F,A,0,0.733744011,0,4,2
F,A,0,0.503764545,50,4,2
M,A,0,0.309377139,0,4,2
M,A,0,0.525667351,10,3,2
M,A,0,0.999315537,50,5,2
M,A,0,0.372347707,20,5,2
M,A,0,0.013689254,30,2,2
M,A,0,0.240930869,0,3,2
M,A,0,0.65982204,30,4,2
M,A,0,0.670773443,0,4,2
M,A,0,0.503764545,0,2,2
M,A,0,0.41889117,20,5,2
M,A,0,0.079397673,0,5,2
F,A,0,0.681724846,0,3,2
M,A,0,0.952772074,50,4,2
M,A,0,0.334017796,50,5,2
M,A,0,0.41889117,50,5,2
M,A,0,0.413415469,40,6,2
M,A,0,0.41889117,10,3,2
M,A,0,0.670773443,10,4,2
M,A,0,0.295687885,50,5,2
M,A,0,0.837782341,50,5,2
F,A,1,0.657084189,0,3,2
F,A,0,0.83504449,50,4,2
M,A,0,0.752908967,50,6,2
F,A,0,0.837782341,0,4,2
M,A,1,0.698151951,50,5,2
M,A,0,0.670773443,10,3,2
M,A,0,0.167008898,50,6,2
M,A,0,0.585900068,10,3,2
M,A,0,0.240930869,0,3,2
M,A,0,0.684462697,0,3,2
M,A,0,0.084873374,50,4,2
M,A,0,0.670773443,0,6,2
M,A,1,0.240930869,50,3,2
M,A,0,0.084873374,40,4,2
M,A,0,0.583162218,30,3,2
M,A,0,0.506502396,50,4,2
M,A,0,0.344969199,30,3,2
M,A,1,0.733744011,50,4,2
M,A,0,0.752908967,50,5,2
M,A,0,0.654346338,0,3,2
M,A,0,0.032854209,30,3,2
M,A,0,0.503764545,30,3,2
M,A,0,0.205338809,0,4,2
F,A,0,0.999315537,10,4,2
M,A,0,0.375085558,0,3,2
M,A,0,0.17522245,0,3,2
F,A,0,0.908966461,0,3,2
M,A,0,0.503764545,50,4,2
M,A,1,0.421629021,0,4,2
M,A,0,0.271047228,20,3,2
M,A,0,0.999315537,50,3,2
M,A,0,0.936344969,10,6,2
M,A,0,0.999315537,50,4,2
M,A,0,0.662559891,0,2,2
M,A,0,0.183436003,50,4,2
F,A,0,0.999315537,50,3,2
M,A,0,0.41889117,10,3,2
M,A,0,0.388774812,0,3,2
M,A,0,0.914442163,50,4,2
F,A,0,0.314852841,10,4,2
M,A,0,0.290212183,0,4,2
M,A,0,0.13963039,40,3,2
M,A,0,0.914442163,30,3,2
